tid,yr,doy
7D.FC03D.,2015,138
7D.FC03D.,2015,139
7D.FC03D.,2015,140
7D.FC03D.,2015,141
7D.FN04C.,2014,1
7D.FN04C.,2014,2
7D.FN04C.,2014,3
7D.FN04C.,2014,4
7D.FN04C.,2014,5
7D.FN05A.,2011,244
7D.FN05A.,2011,245
7D.FN05A.,2011,246
7D.FN05A.,2011,247
7D.FN05A.,2011,248
7D.FN05A.,2011,249
7D.FN05C.,2014,1
7D.FN05C.,2014,2
7D.FN05C.,2014,3
7D.FN05C.,2014,4
7D.FN05C.,2014,5
7D.FN06C.,2014,1
7D.FN06C.,2014,2
7D.FN06C.,2014,3
7D.FN06C.,2014,4
7D.FN06C.,2014,5
7D.FN07A.,2011,244
7D.FN07A.,2011,245
7D.FN07A.,2011,246
7D.FN07A.,2011,247
7D.FN07A.,2011,248
7D.FN07A.,2011,249
7D.FN07C.,2014,1
7D.FN07C.,2014,2
7D.FN07C.,2014,3
7D.FN07C.,2014,4
7D.FN07C.,2014,5
7D.FN08A.,2011,244
7D.FN08A.,2011,245
7D.FN08A.,2011,246
7D.FN08A.,2011,247
7D.FN08A.,2011,248
7D.FN08C.,2014,1
7D.FN08C.,2014,2
7D.FN08C.,2014,3
7D.FN08C.,2014,4
7D.FN08C.,2014,5
7D.FN09C.,2014,1
7D.FN09C.,2014,2
7D.FN09C.,2014,3
7D.FN09C.,2014,4
7D.FN09C.,2014,5
7D.FN10C.,2013,365
7D.FN10C.,2014,1
7D.FN10C.,2014,2
7D.FN10C.,2014,3
7D.FN10C.,2014,4
7D.FN10C.,2014,5
7D.FN11C.,2014,1
7D.FN11C.,2014,2
7D.FN11C.,2014,3
7D.FN11C.,2014,4
7D.FN11C.,2014,5
7D.FN12A.,2011,244
7D.FN12A.,2011,245
7D.FN12A.,2011,246
7D.FN12A.,2011,247
7D.FN12A.,2011,248
7D.FN12C.,2014,1
7D.FN12C.,2014,2
7D.FN12C.,2014,3
7D.FN12C.,2014,4
7D.FN12C.,2014,5
7D.FN13C.,2014,1
7D.FN13C.,2014,2
7D.FN13C.,2014,3
7D.FN13C.,2014,4
7D.FN13C.,2014,5
7D.FN14A.,2011,244
7D.FN14A.,2011,245
7D.FN14A.,2011,246
7D.FN14A.,2011,247
7D.FN14A.,2011,248
7D.FN14C.,2014,1
7D.FN14C.,2014,2
7D.FN14C.,2014,3
7D.FN14C.,2014,4
7D.FN14C.,2014,5
7D.FN16A.,2011,236
7D.FN16A.,2011,237
7D.FN16A.,2011,238
7D.FN16A.,2011,239
7D.FN16A.,2011,240
7D.FN16A.,2011,241
7D.FN16A.,2011,242
7D.FN16A.,2011,243
7D.FN16A.,2011,244
7D.FN16A.,2011,245
7D.FN16A.,2011,246
7D.FN16A.,2011,247
7D.FN16A.,2011,248
7D.FN16A.,2011,249
7D.FN16C.,2014,1
7D.FN16C.,2014,2
7D.FN16C.,2014,3
7D.FN16C.,2014,4
7D.FN17C.,2013,365
7D.FN17C.,2014,1
7D.FN17C.,2014,2
7D.FN17C.,2014,3
7D.FN17C.,2014,4
7D.FN18A.,2011,244
7D.FN18A.,2011,245
7D.FN18A.,2011,246
7D.FN18A.,2011,247
7D.FN18A.,2011,248
7D.FN18C.,2014,1
7D.FN18C.,2014,2
7D.FN18C.,2014,3
7D.FN18C.,2014,4
7D.FN19C.,2014,1
7D.FN19C.,2014,2
7D.FN19C.,2014,3
7D.FN19C.,2014,4
7D.FS11D.,2015,1
7D.FS11D.,2015,2
7D.FS11D.,2015,5
7D.FS11D.,2015,6
7D.FS11D.,2015,7
7D.FS12D.,2015,1
